"Index" "VALE3.SA" "PETR3.SA"
"2010-01-01" 24.791191 17.795441
"2010-02-01" 25.571777 18.018934
"2010-03-01" 28.967829 18.484543
"2010-04-01" 26.914984 17.204124
"2010-05-01" 25.523502 15.910467
"2010-06-01" 22.282015 14.551227
"2010-07-01" 24.783327 15.0394
"2010-08-01" 23.93083 13.889384
"2010-09-01" 26.697582 14.345706
"2010-10-01" 27.361195 13.472692
"2010-11-01" 27.582932 12.915854
"2010-12-01" 28.494465 14.486186
"2011-01-01" 29.395708 14.349976
"2011-02-01" 29.149603 15.56769
"2011-03-01" 27.622223 15.577242
"2011-04-01" 26.814516 13.870687
"2011-05-01" 26.329664 12.93857
"2011-06-01" 25.931452 12.753454
"2011-07-01" 26.266787 12.63199
"2011-08-01" 23.474018 11.150165
"2011-09-01" 22.835217 10.237076
"2011-10-01" 23.40275 11.304867
"2011-11-01" 22.625845 11.81427
"2011-12-01" 21.430719 11.360951
"2012-01-01" 24.282717 13.292313
"2012-02-01" 23.657997 12.792349
"2012-03-01" 23.30489 12.095487
"2012-04-01" 23.141916 11.19995
"2012-05-01" 20.934229 9.904379
"2012-06-01" 22.348776 9.547831
"2012-07-01" 20.68919 10.128783
"2012-08-01" 18.812407 10.760254
"2012-09-01" 20.32163 11.770605
"2012-10-01" 20.85626 10.861289
"2012-11-01" 21.612688 9.648868
"2012-12-01" 24.302782 9.876196
"2013-01-01" 23.141668 9.209363
"2013-02-01" 21.727648 7.320004
"2013-03-01" 20.192919 8.537479
"2013-04-01" 19.710083 9.694334
"2013-05-01" 17.970522 9.650846
"2013-06-01" 17.061666 7.529389
"2013-07-01" 18.306913 7.82446
"2013-08-01" 20.26626 8.165316
"2013-09-01" 20.33708 8.628272
"2013-10-01" 21.098396 9.940829
"2013-11-01" 21.239918 9.320166
"2013-12-01" 21.14518 8.134792
"2014-01-01" 19.570095 7.005384
"2014-02-01" 19.540489 6.608566
"2014-03-01" 18.604914 7.610789
"2014-04-01" 17.49762 7.977084
"2014-05-01" 17.327646 8.234515
"2014-06-01" 17.802542 8.56685
"2014-07-01" 19.817806 9.490002
"2014-08-01" 17.778191 11.64754
"2014-09-01" 16.347412 9.099639
"2014-10-01" 15.22105 7.728101
"2014-11-01" 14.712367 6.425138
"2014-12-01" 13.840617 5.058872
"2015-01-01" 11.755996 4.241223
"2015-02-01" 13.42369 5.000845
"2015-03-01" 11.332754 5.053596
"2015-04-01" 14.308074 7.517096
"2015-05-01" 13.085616 6.989579
"2015-06-01" 11.936954 7.401041
"2015-07-01" 11.662842 6.108628
"2015-08-01" 11.695473 5.602213
"2015-09-01" 10.820923 4.504981
"2015-10-01" 11.134195 4.948094
"2015-11-01" 8.768075 4.963921
"2015-12-01" 8.674868 4.520807
"2016-01-01" 6.4712 3.655681
"2016-02-01" 7.86264 3.877238
"2016-03-01" 10.086284 5.607489
"2016-04-01" 13.108841 7.00013
"2016-05-01" 9.467124 5.370107
"2016-06-01" 10.831937 6.071702
"2016-07-01" 12.316584 7.390491
"2016-08-01" 11.277995 7.775577
"2016-09-01" 11.857207 7.986583
"2016-10-01" 14.700008 9.832888
"2016-11-01" 18.681261 9.74321
"2016-12-01" 17.096748 8.93611
"2017-01-01" 21.550072 8.540472
"2017-02-01" 21.911692 8.419145
"2017-03-01" 19.949551 7.991859
"2017-04-01" 18.395912 7.575121
"2017-05-01" 18.802017 7.18476
"2017-06-01" 20.068407 6.963203
"2017-07-01" 21.660036 7.279712
"2017-08-01" 24.275848 7.36939
"2017-09-01" 22.054485 8.340019
"2017-10-01" 22.213646 9.189318
"2017-11-01" 24.317369 8.41387
"2017-12-01" 27.860477 8.920286
"2018-01-01" 28.990383 11.236077
"2018-02-01" 31.508244 12.211982
"2018-03-01" 29.521925 12.322761
"2018-04-01" 34.426796 12.992703
"2018-05-01" 35.81321 11.705567
"2018-06-01" 35.077564 10.261957
"2018-07-01" 38.791164 11.593579
"2018-08-01" 37.928188 11.667558
"2018-09-01" 43.533398 12.832309
"2018-10-01" 41.270126 16.057598
"2018-11-01" 38.424664 14.897767
"2018-12-01" 37.114735 13.501257
"2019-01-01" 33.112167 15.74049
"2019-02-01" 34.276546 15.90562
"2019-03-01" 37.063797 16.592766
"2019-04-01" 36.459763 15.958887
"2019-05-01" 35.659252 15.037361
"2019-06-01" 37.711479 16.046564
"2019-07-01" 36.248722 15.389092
"2019-08-01" 33.163105 15.111138
"2019-09-01" 34.74958 16.232624
"2019-10-01" 34.349319 17.60553
"2019-11-01" 36.37244 16.797937
"2019-12-01" 38.788532 17.333748
"2020-01-01" 37.552887 16.43998
"2020-02-01" 33.100624 14.7066
"2020-03-01" 32.286369 7.65935
"2020-04-01" 33.511486 10.102324
"2020-05-01" 39.592258 11.605933
"2020-06-01" 41.773567 12.441295
"2020-07-01" 45.351814 12.641781
"2020-08-01" 44.582375 12.557044
"2020-09-01" 44.156578 11.122437
"2020-10-01" 47.123112 10.68924
"2020-11-01" 60.703594 14.374215
"2020-12-01" 68.058067 16.230768
"2021-01-01" 68.447205 15.375628
"2021-02-01" 73.56031 12.461405
"2021-03-01" 76.245285 13.468445
"2021-04-01" 88.667198 12.995867
"2021-05-01" 93.351875 15.502645
"2021-06-01" 92.107513 17.620079
"2021-07-01" 90.202568 15.997102
"2021-08-01" 81.842484 16.241423
"2021-09-01" 63.231373 17.32556
"2021-10-01" 65.560783 17.03013
"2021-11-01" 64.041008 18.550348
"2021-12-01" 72.097641 18.876553
"2022-01-01" 74.038551 24.311487
"2022-02-01" 84.484695 25.069714
"2022-03-01" 87.524239 24.29081
"2022-04-01" 79.18576 23.050076
"2022-05-01" 81.961868 24.895813
"2022-06-01" 72.787384 25.262913
"2022-07-01" 66.312965 30.573582
"2022-08-01" 61.321663 30.747295
"2022-09-01" 72.040001 33.080002
"2022-10-01" NA NA
