"Nome Portfolio";"Tipo";"Risco (CVaR)";"Retorno";"Indice de Sharpe"
"1";"ibov";"Risco Minimo";0,04054;0,00935;0,03864
"2";"grande";"Risco Minimo";0,06277;0,01115;0,0568
"3";"medio";"Risco Minimo";0,0644;0,01148;0,06082
"4";"pequeno";"Risco Minimo";0,10184;0,01371;0,06802
"5";"materiais basicos";"Risco Minimo";0,08971;0,00562;-0,02982
"6";"bens industriais";"Risco Minimo";0,07601;0,01109;0,06105
"7";"consumo nao ciclico";"Risco Minimo";0,06918;0,00714;-0,01617
"8";"utilidade publica";"Risco Minimo";0,08274;0,01456;0,12869
"9";"financeiro";"Risco Minimo";0,09867;0,00927;0,0162
"10";"ibov";"Tangente";0,07956;0,01894;0,21585
"11";"grande";"Tangente";0,08584;0,01707;0,14027
"12";"medio";"Tangente";0,08584;0,01707;0,14027
"13";"pequeno";"Tangente";0,12189;0,01847;0,15466
"14";"materiais basicos";"Tangente";0,12147;0,00705;-0,01181
"15";"bens industriais";"Tangente";0,08376;0,01382;0,10589
"16";"consumo nao ciclico";"Tangente";0,09728;0,01039;0,03149
"17";"utilidade publica";"Tangente";0,09318;0,02038;0,23267
"18";"financeiro";"Tangente";0,11142;0,01121;0,0384
