"CVaR";"mean";"Sharp";"EMBR3.SA";"WEGE3.SA";"GOLL4.SA";"CCRO3.SA";"ECOR3.SA";"LREN3.SA";"AMER3.SA"
"1";0,3417;0,0029;-0,0183;0;0;0;0;0;0;1
"2";0,2075;0,0032;-0,0304;0;0;0;0;0,4878;0;0,5122
"3";0,1814;0,0035;-0,0303;0,0597;0;0;0;0,6856;0;0,2547
"4";0,1609;0,0038;-0,0356;0,1757;0;0;0;0,6098;0;0,2145
"5";0,1405;0,0041;-0,0445;0,2917;0;0;0;0,534;0;0,1743
"6";0,1209;0,0044;-0,0414;0,4077;0;0;0;0,4582;0;0,1341
"7";0,1073;0,0047;-0,0417;0,4437;0;0;0,0873;0,3644;0;0,1046
"8";0,0984;0,005;-0,0429;0,4657;0,0022;0;0,1797;0,2742;0;0,0783
"9";0,095;0,0053;-0,0405;0,4561;0,032;0;0,1755;0,2633;0;0,0731
"10";0,0917;0,0056;-0,0379;0,4465;0,0618;0;0,1714;0,2524;0;0,0679
"11";0,0884;0,0059;-0,0336;0,437;0,0917;0;0,1672;0,2415;0;0,0627
"12";0,0858;0,0062;-0,0292;0,4274;0,1215;0;0,163;0,2305;0;0,0575
"13";0,0842;0,0065;-0,0247;0,4179;0,1513;0;0,1589;0,2196;0;0,0523
"14";0,0825;0,0068;-0,02;0,4083;0,1811;0;0,1547;0,2087;0;0,0471
"15";0,0809;0,0071;-0,0153;0,3988;0,211;0;0,1506;0,1978;0;0,0419
"16";0,0797;0,0074;-0,011;0,3904;0,2342;0;0,1453;0,188;0,0052;0,037
"17";0,0787;0,0077;-0,0061;0,3845;0,2431;0;0,1374;0,1805;0,0216;0,0329
"18";0,0776;0,008;-5e-04;0,3786;0,252;0;0,1296;0,173;0,0379;0,0288
"19";0,0767;0,0083;0,0052;0,3727;0,2609;0;0,1218;0,1655;0,0543;0,0247
"20";0,0762;0,0086;0,011;0,3669;0,2698;0;0,114;0,1579;0,0707;0,0206
"21";0,0759;0,009;0,0169;0,361;0,2788;0;0,1062;0,1504;0,0871;0,0165
"22";0,0755;0,0093;0,0227;0,3551;0,2877;0;0,0984;0,1429;0,1035;0,0124
"23";0,0752;0,0096;0,0284;0,3493;0,2966;0;0,0906;0,1354;0,1199;0,0083
"24";0,0749;0,0099;0,0342;0,3434;0,3055;0;0,0827;0,1279;0,1362;0,0042
"25";0,0749;0,0102;0,0419;0,3375;0,3144;0;0,0749;0,1204;0,1526;1e-04
"26";0,0752;0,0105;0,0505;0,3306;0,3233;0;0,0646;0,1117;0,1697;0
"27";0,0756;0,0108;0,0557;0,3237;0,3322;0;0,0542;0,103;0,1869;0
"28";0,076;0,0111;0,0606;0,3167;0,3412;0;0,0438;0,0943;0,204;0
"29";0,0763;0,0114;0,0653;0,3098;0,3501;0;0,0334;0,0855;0,2212;0
"30";0,0771;0,0117;0,0728;0,3028;0,359;0;0,023;0,0768;0,2384;0
"31";0,0779;0,012;0,0814;0,2959;0,3679;0;0,0126;0,0681;0,2555;0
"32";0,0787;0,0123;0,0884;0,2889;0,3768;0;0,0022;0,0594;0,2727;0
"33";0,0794;0,0126;0,0934;0,2806;0,3853;0;0;0,045;0,2891;0
"34";0,0801;0,0129;0,0982;0,272;0,3936;0;0;0,0291;0,3053;0
"35";0,0807;0,0132;0,103;0,2634;0,402;0;0;0,0131;0,3215;0
"36";0,0815;0,0135;0,1089;0,2514;0,4102;0;0;0;0,3384;0
"37";0,0832;0,0138;0,1047;0,2237;0,418;0;0;0;0,3583;0
"38";0,0863;0,0141;0,112;0,1961;0,4258;0;0;0;0,3782;0
"39";0,0894;0,0144;0,1131;0,1685;0,4335;0;0;0;0,398;0
"40";0,0926;0,0147;0,1099;0,1408;0,4413;0;0;0;0,4179;0
"41";0,0962;0,015;0,1111;0,1132;0,449;0;0;0;0,4378;0
"42";0,1001;0,0153;0,1151;0,0855;0,4568;0;0;0;0,4577;0
"43";0,104;0,0156;0,1171;0,0579;0,4646;0;0;0;0,4776;0
"44";0,108;0,0159;0,1132;0,0302;0,4723;0;0;0;0,4974;0
"45";0,1119;0,0162;0,1097;0,0026;0,4801;0;0;0;0,5173;0
"46";0,1161;0,0165;0,1148;0;0,392;0;0;0;0,608;0
"47";0,121;0,0168;0,0933;0;0,294;0;0;0;0,706;0
"48";0,1288;0,0171;0,09;0;0,196;0;0;0;0,804;0
"49";0,1384;0,0174;0,0959;0;0,098;0;0;0;0,902;0
"50";0,1506;0,0177;0,0961;0;0;0;0;0;1;0
