"CVaR";"mean";"Sharp";"SLCE3.SA";"SMTO3.SA";"BRFS3.SA";"JBSS3.SA";"MRFG3.SA";"BEEF3.SA";"ABEV3.SA";"PCAR3.SA"
"1";0,3605;-0,0077;-0,0725;0;0;0;0;0,9617;0;0;0,0383
"2";0,3461;-0,0073;-0,0735;0;0;0;0;0,9235;0;0;0,0765
"3";0,3318;-0,0069;-0,0745;0;0;0;0;0,8852;0;0;0,1148
"4";0,3174;-0,0065;-0,0757;0;0;0;0;0,8469;0;0;0,1531
"5";0,3028;-0,006;-0,0771;0;0;0,0117;0;0,8085;0;0;0,1797
"6";0,2878;-0,0056;-0,0789;0;0;0,0385;0;0,77;0;0;0,1915
"7";0,2728;-0,0052;-0,0809;0;0;0,0653;0;0,7314;0;0;0,2033
"8";0,2578;-0,0047;-0,0817;0;0;0,0921;0;0,6928;0;0;0,2151
"9";0,2432;-0,0043;-0,0774;0;0;0,1188;0;0,6543;0;0;0,2269
"10";0,2309;-0,0039;-0,0804;0;0;0,1456;0;0,6157;0;0;0,2387
"11";0,2189;-0,0034;-0,0849;0;0;0,1724;0;0,5772;0;0;0,2505
"12";0,207;-0,003;-0,0877;0;0;0,1992;0;0,5386;0;0;0,2622
"13";0,1954;-0,0026;-0,0836;0;0;0,2259;0;0,5;0;0;0,274
"14";0,1847;-0,0021;-0,0831;0;0;0,2527;0;0,4615;0;0;0,2858
"15";0,1756;-0,0017;-0,09;0;0;0,2795;0;0,4229;0;0;0,2976
"16";0,1665;-0,0013;-0,0992;0;0;0,3063;0;0,3843;0;0;0,3094
"17";0,1579;-9e-04;-0,1002;0,008;0,004;0,3219;0;0,3524;0;0;0,3137
"18";0,15;-4e-04;-0,0958;0,0226;0,0215;0,3177;0;0,3315;0;0;0,3067
"19";0,142;0;-0,0913;0,0372;0,039;0,3135;0;0,3106;0;0;0,2997
"20";0,134;4e-04;-0,0868;0,0517;0,0565;0,3094;0;0,2898;0;0;0,2926
"21";0,1269;9e-04;-0,0843;0,0658;0,0733;0,3048;0;0,2693;0;0,0014;0,2854
"22";0,1197;0,0013;-0,0827;0,0721;0,0778;0,2929;0;0,2549;1e-04;0,0265;0,2758
"23";0,1128;0,0017;-0,0825;0,0786;0,0819;0,2798;0;0,2397;0,0032;0,0507;0,2661
"24";0,1061;0,0022;-0,0803;0,0851;0,086;0,2667;0;0,2245;0,0064;0,0749;0,2564
"25";0,0993;0,0026;-0,0755;0,0916;0,0901;0,2536;0;0,2094;0,0096;0,0991;0,2467
"26";0,0927;0,003;-0,0712;0,0981;0,0942;0,2405;0;0,1942;0,0127;0,1233;0,237
"27";0,0863;0,0034;-0,0679;0,1046;0,0982;0,2274;0;0,179;0,0159;0,1475;0,2274
"28";0,0799;0,0039;-0,0631;0,1111;0,1023;0,2142;0;0,1638;0,0191;0,1717;0,2177
"29";0,0766;0,0043;-0,0597;0,1176;0,1064;0,2011;0;0,1487;0,0223;0,1959;0,208
"30";0,0751;0,0047;-0,0559;0,1242;0,1105;0,188;0;0,1335;0,0254;0,2201;0,1983
"31";0,0736;0,0052;-0,0512;0,1307;0,1146;0,1749;0;0,1183;0,0286;0,2443;0,1886
"32";0,0722;0,0056;-0,0434;0,1372;0,1187;0,1618;0;0,1032;0,0318;0,2685;0,179
"33";0,0708;0,006;-0,0351;0,1437;0,1227;0,1487;0;0,088;0,0349;0,2927;0,1693
"34";0,0697;0,0065;-0,0277;0,1502;0,1268;0,1356;0;0,0728;0,0381;0,3169;0,1596
"35";0,0693;0,0069;-0,0209;0,1567;0,1309;0,1225;0;0,0576;0,0413;0,3411;0,1499
"36";0,0695;0,0073;-0,0129;0,1632;0,135;0,1094;0;0,0425;0,0445;0,3653;0,1402
"37";0,0716;0,0078;-0,0052;0,1697;0,1391;0,0963;0;0,0273;0,0476;0,3895;0,1306
"38";0,0745;0,0082;0,0018;0,176;0,1429;0,0831;8e-04;0,0122;0,0508;0,4132;0,121
"39";0,0771;0,0086;0,0087;0,179;0,1428;0,0688;0,013;0;0,0518;0,4323;0,1123
"40";0,0818;0,009;0,0148;0,1788;0,1433;0,0465;0,0282;0;0,0394;0,466;0,0978
"41";0,0865;0,0095;0,0204;0,1785;0,1438;0,0242;0,0435;0;0,0271;0,4996;0,0833
"42";0,0915;0,0099;0,026;0,1782;0,1443;0,0019;0,0588;0;0,0147;0,5332;0,0688
"43";0,0966;0,0103;0,031;0,1795;0,136;0;0,0769;0;0;0,5691;0,0385
"44";0,1008;0,0108;0,0349;0,1733;0,1081;0;0,1074;0;0;0,6111;0
"45";0,107;0,0112;0,0419;0,1159;0,0223;0;0,1906;0;0;0,6712;0
"46";0,1218;0,0116;0,0481;0,008;0;0;0,2828;0;0;0,7092;0
"47";0,1433;0,0121;0,0354;0;0;0;0,5156;0;0;0,4844;0
"48";0,1815;0,0125;0,0331;0;0;0;0,7578;0;0;0,2422;0
"49";0,2306;0,0129;0,026;0;0;0;1;0;0;0;0
