"CVaR";"mean";"Sharp";"BRAP4.SA";"VALE3.SA";"GGBR4.SA";"GOAU4.SA";"CSNA3.SA";"USIM5.SA";"BRKM5.SA";"DXCO3.SA";"SUZB3.SA"
"1";0,3783;-0,0117;-0,0975;0;0;0;0,9707;0;0;0;0,0293;0
"2";0,3681;-0,0113;-0,0969;0;0;0;0,9415;0;0;0;0,0585;0
"3";0,359;-0,0109;-0,0969;0;0;0;0,9176;0;0;0;0,0654;0,017
"4";0,35;-0,0104;-0,0968;0;0;0;0,8938;0;0;0;0,0722;0,034
"5";0,341;-0,01;-0,0968;0;0;0;0,87;0;0;0;0,0789;0,0511
"6";0,3319;-0,0096;-0,0967;0;0;0;0,8462;0;0;0;0,0856;0,0682
"7";0,3229;-0,0091;-0,0967;0;0;0;0,8224;0;0;0;0,0923;0,0853
"8";0,3139;-0,0087;-0,0966;0;0;0;0,7986;0;0;0;0,099;0,1024
"9";0,3048;-0,0083;-0,0966;0;0;0;0,7748;0;0;0;0,1058;0,1194
"10";0,2958;-0,0078;-0,0965;0;0;0;0,751;0;0;0;0,1125;0,1365
"11";0,2868;-0,0074;-0,0964;0;0;0;0,7272;0;0;0;0,1192;0,1536
"12";0,2778;-0,007;-0,0964;0;0;0;0,7034;0;0;0;0,1259;0,1707
"13";0,2687;-0,0066;-0,0963;0;0;0;0,6796;0;0;0;0,1327;0,1877
"14";0,2597;-0,0061;-0,0962;0;0;0;0,6558;0;0;0;0,1394;0,2048
"15";0,2507;-0,0057;-0,0961;0;0;0;0,632;0;0;0;0,1461;0,2219
"16";0,2417;-0,0053;-0,096;0;0;0;0,6082;0;0;0;0,1528;0,239
"17";0,2326;-0,0048;-0,0959;0;0;0;0,5844;0;0;0;0,1596;0,2561
"18";0,2236;-0,0044;-0,0958;0;0;0;0,5606;0;0;0;0,1663;0,2731
"19";0,2146;-0,004;-0,0944;0;0;0;0,5368;0;0;0;0,173;0,2902
"20";0,2057;-0,0035;-0,0927;0;0;0;0,513;0;0;0;0,1797;0,3073
"21";0,1967;-0,0031;-0,091;0;0;0;0,4892;0;0;0;0,1865;0,3244
"22";0,1882;-0,0027;-0,0912;0;0;0;0,4654;0;0;0;0,1932;0,3415
"23";0,1799;-0,0022;-0,0926;0;0;0;0,4416;0;0;0;0,1999;0,3585
"24";0,1717;-0,0018;-0,0945;0;0;0;0,4178;0;0;0;0,2066;0,3756
"25";0,1635;-0,0014;-0,0949;0;0;0;0,394;0;0;0;0,2134;0,3927
"26";0,1554;-9e-04;-0,0947;0;0;0;0,3702;0;0;0;0,2201;0,4098
"27";0,148;-5e-04;-0,0926;0;0;0;0,3464;0;0;0;0,2268;0,4268
"28";0,1414;-1e-04;-0,0862;0;0,0022;0;0,3221;0;0;0;0,2332;0,4425
"29";0,1352;4e-04;-0,0813;0;0,0204;0;0,2943;0;0;0;0,237;0,4483
"30";0,1292;8e-04;-0,0766;0;0,0366;0;0,2679;0;0;0,0056;0,2391;0,4507
"31";0,1236;0,0012;-0,073;0;0,052;0;0,2422;0;0;0,0138;0,2404;0,4516
"32";0,1185;0,0017;-0,0721;0;0,0673;0;0,2165;0;0;0,022;0,2416;0,4525
"33";0,1134;0,0021;-0,0711;0;0,0826;0;0,1908;0;0;0,0303;0,2429;0,4534
"34";0,1083;0,0025;-0,07;0;0,0979;0;0,1651;0;0;0,0385;0,2442;0,4543
"35";0,1033;0,003;-0,0655;0;0,1132;0;0,1394;0;0;0,0467;0,2454;0,4552
"36";0,0984;0,0034;-0,0601;0;0,1285;0;0,1137;0;0;0,0549;0,2467;0,4561
"37";0,095;0,0038;-0,0577;0;0,1438;0;0,088;0;0;0,0631;0,248;0,457
"38";0,0927;0,0043;-0,0503;0;0,1591;0;0,0623;0;0;0,0713;0,2493;0,458
"39";0,0907;0,0047;-0,0433;0;0,1744;0;0,0366;0;0;0,0796;0,2505;0,4589
"40";0,0889;0,0051;-0,0367;0;0,1896;8e-04;0,0106;0;0;0,0877;0,2517;0,4597
"41";0,0887;0,0056;-0,0304;0;0,1755;0;0;0;0;0,1142;0,2299;0,4804
"42";0,0983;0,006;-0,0247;0;0,1394;0;0;0;0;0,1541;0,1909;0,5156
"43";0,1079;0,0064;-0,0192;0;0,1034;0;0;0;0;0,1939;0,1519;0,5508
"44";0,1176;0,0069;-0,0139;0;0,0673;0;0;0;0;0,2338;0,1129;0,586
"45";0,1272;0,0073;-0,0087;0;0,0313;0;0;0;0;0,2737;0,0739;0,6212
"46";0,1371;0,0077;-0,0037;0;0;0;0;0;0;0,3145;0,0301;0,6554
"47";0,1464;0,0082;0,001;0;0;0;0;0;0;0,4866;0;0,5134
"48";0,1751;0,0086;0,0038;0;0;0;0;0;0;0,7433;0;0,2567
"49";0,2282;0,009;0,0064;0;0;0;0;0;0;1;0;0
