Index;valor
01/12/2022;
01/11/2022;
01/10/2022;
01/09/2022;1,07
01/08/2022;1,1775
01/07/2022;1,0423
01/06/2022;1,0228
01/05/2022;1,0424
01/04/2022;0,8411
01/03/2022;0,935
01/02/2022;0,7619
01/01/2022;0,74
01/12/2021;0,7775
01/11/2021;0,5942
01/10/2021;0,4935
01/09/2021;0,4499
01/08/2021;0,4363
01/07/2021;0,364
01/06/2021;0,3158
01/05/2021;0,2784
01/04/2021;0,2155
01/03/2021;0,21
01/02/2021;0,1415
01/01/2021;0,1573
01/12/2020;0,173
01/11/2020;0,1573
01/10/2020;0,1652
01/09/2020;0,1652
01/08/2020;0,1681
01/07/2020;0,2033
01/06/2020;0,2205
01/05/2020;0,2435
01/04/2020;0,2926
01/03/2020;0,3468
01/02/2020;0,3006
01/01/2020;0,385
01/12/2019;0,3827
01/11/2019;0,388
01/10/2019;0,488
01/09/2019;0,4717
01/08/2019;0,51
01/07/2019;0,5764
01/06/2019;0,4759
01/05/2019;0,5513
01/04/2019;0,5262
01/03/2019;0,4759
01/02/2019;0,5011
01/01/2019;0,5513
01/12/2018;0,5011
01/11/2018;0,5513
01/10/2018;0,5513
01/09/2018;0,4759
01/08/2018;0,5764
01/07/2018;0,5513
01/06/2018;0,5262
01/05/2018;0,5262
01/04/2018;0,5262
01/03/2018;0,5402
01/02/2018;0,4723
01/01/2018;0,5924
01/12/2017;0,5459
01/11/2017;0,5756
01/10/2017;0,6228
01/09/2017;0,6458
01/08/2017;0,8107
01/07/2017;0,8055
01/06/2017;0,8165
01/05/2017;0,9351
01/04/2017;0,793
01/03/2017;1,0603
01/02/2017;0,8715
01/01/2017;1,0939
01/12/2016;1,1311
01/11/2016;1,0453
01/10/2016;1,0559
01/09/2016;1,1163
01/08/2016;1,2233
01/07/2016;1,1163
01/06/2016;1,1698
01/05/2016;1,1163
01/04/2016;1,0629
01/03/2016;1,1698
01/02/2016;1,0095
01/01/2016;1,0629
01/12/2015;1,1698
01/11/2015;1,0629
01/10/2015;1,1163
01/09/2015;1,1163
01/08/2015;1,1163
01/07/2015;1,1863
01/06/2015;1,0741
01/05/2015;0,9924
01/04/2015;0,9587
01/03/2015;1,0478
01/02/2015;0,8288
01/01/2015;0,9426
01/12/2014;0,96
01/11/2014;0,84
01/10/2014;0,95
01/09/2014;0,91
01/08/2014;0,87
01/07/2014;0,95
01/06/2014;0,82
01/05/2014;0,87
01/04/2014;0,82
01/03/2014;0,77
01/02/2014;0,79
01/01/2014;0,85
01/12/2013;0,79
01/11/2013;0,72
01/10/2013;0,81
01/09/2013;0,71
01/08/2013;0,71
01/07/2013;0,72
01/06/2013;0,61
01/05/2013;0,6
01/04/2013;0,61
01/03/2013;0,55
01/02/2013;0,49
01/01/2013;0,6
01/12/2012;0,55
01/11/2012;0,55
01/10/2012;0,61
01/09/2012;0,54
01/08/2012;0,69
01/07/2012;0,68
01/06/2012;0,64
01/05/2012;0,74
01/04/2012;0,71
01/03/2012;0,82
01/02/2012;0,75
01/01/2012;0,89
01/12/2011;0,91
01/11/2011;0,86
01/10/2011;0,88
01/09/2011;0,94
01/08/2011;1,07
01/07/2011;0,97
01/06/2011;0,96
01/05/2011;0,99
01/04/2011;0,84
01/03/2011;0,92
01/02/2011;0,84
01/01/2011;0,86
01/12/2010;0,93
01/11/2010;0,81
01/10/2010;0,81
01/09/2010;0,85
01/08/2010;0,89
01/07/2010;0,86
01/06/2010;0,79
01/05/2010;0,75
01/04/2010;0,67
01/03/2010;0,76
01/02/2010;0,59
01/01/2010;0,66
