"","Ibovespa","Selic","ibov.tangente","grande.tangente","utilidade publica.tangente","utilidade publica.minrisk"
"Inicio",1000,1000,1000,1000,1000,1000
"2019-08-01",993.35048913684,1005.1,1007.25881619684,1017.24718277023,994.242703894526,993.354898349928
"2019-09-01",1028.80799905709,1009.8410567,1054.32370319571,1052.91156514037,1045.05072418398,1016.2770498351
"2019-10-01",1053.11751070601,1014.7690810567,1076.30948637849,1079.54988312388,1040.17632161009,1004.06414320214
"2019-11-01",1063.06722193848,1018.7063850912,1105.18633324193,1082.18101900792,1030.02133762229,1007.74551173873
"2019-12-01",1135.86807056143,1022.60497442694,1213.06453855226,1184.73184624182,1164.71929125575,1136.57420212982
"2020-01-01",1117.36337563352,1026.54200357848,1293.51538117927,1255.26838873998,1204.32914952922,1172.68872222758
"2020-02-01",1023.17997878443,1029.62778884124,1287.6929680273,1197.06575512774,1194.0145999396,1115.19180436155
"2020-03-01",717.20425883,1033.19853801294,947.765897951282,951.612961396556,885.817675767851,859.849047288363
"2020-04-01",790.731937296193,1036.22167693517,1047.37600080612,1039.8746233222,969.854278318352,932.427250528787
"2020-05-01",858.474443091188,1038.74487671851,1111.89716483065,1080.26215112397,1031.7154582385,991.679225818555
"2020-06-01",933.642399717125,1041.03530917167,1223.36928012251,1116.38189765965,1135.05490031865,1032.72201711018
"2020-07-01",1010.80422739952,1043.15173395522,1375.75276676888,1172.263329263,1191.79760750131,1078.67271268327
"2020-08-01",976.004793148155,1044.90527201999,1280.25180323788,1057.91137678316,1110.55697820149,1024.54378974873
"2020-09-01",929.193022433505,1046.63145552937,1262.73839950219,1047.02855664934,1044.12528261845,972.615568247263
"2020-10-01",922.79888421797,1048.36049069391,1297.04034424174,1055.15537007552,1015.15968214654,962.832237713829
"2020-11-01",1069.50064825364,1050.00956174577,1386.90976905268,1149.71425631972,1130.1410141294,1064.78112565588
"2020-12-01",1171.82650375201,1051.82607828759,1446.67494172544,1203.76885724207,1215.95430286795,1138.11650759845
"2021-01-01",1139.42364357836,1053.48060070873,1450.00052944481,1181.32954289528,1183.75248449776,1112.28554872496
"2021-02-01",1080.76651082387,1054.97127575874,1341.64628029644,1076.9079314507,1063.06478996411,1027.61093592564
"2021-03-01",1145.58205319609,1057.18671543783,1458.06958673632,1135.83107710209,1258.64095677326,1139.61343536605
"2021-04-01",1167.77982948965,1059.4649528096,1479.80352320819,1148.64110854459,1285.81830062951,1130.35391361947
"2021-05-01",1239.69669587082,1062.41450323822,1486.86740303907,1214.1486292265,1271.81403930587,1138.96178316374
"2021-06-01",1245.45240246729,1065.76960823945,1475.63854760558,1140.05250313982,1298.43014207358,1130.98360505172
"2021-07-01",1196.33245589911,1069.64900961344,1457.0357002962,1104.44486389878,1264.2961510521,1092.79705847911
"2021-08-01",1166.66994067497,1074.31588824238,1494.58748645668,1146.23935379146,1307.60604504416,1137.90737332488
"2021-09-01",1090.03850233764,1079.14923542358,1495.1922457278,1107.34075196403,1293.4134666596,1129.69072166833
"2021-10-01",1016.58940007072,1084.4748369004,1375.94579109679,1068.84927128656,1202.06552877816,1108.9559087258
"2021-11-01",1001.01166856559,1090.91878638126,1362.61489056894,1144.38711040882,1231.70161589096,1161.30530772987
"2021-12-01",1029.56429497505,1099.40067994538,1402.14228362488,1156.29962944596,1223.76856080242,1148.37257480627
"2022-01-01",1103.87773543394,1107.53624497697,1396.73750399608,1142.52910997731,1259.96685255018,1189.71307989588
"2022-02-01",1111.28354221506,1115.97456362745,1426.49899480673,1160.99133083336,1347.58948790482,1225.46208958461
"2022-03-01",1178.63316701371,1126.40892579737,1544.69804421641,1267.98995774482,1480.66219028212,1366.37093066375
"2022-04-01",1059.56075904608,1135.88315127225,1417.75347639805,1184.95950359273,1429.67962206031,1319.42876411197
"2022-05-01",1093.69229560366,1147.72359724111,1337.39911074329,1153.91802048144,1322.25143092441,1290.20152917445
"2022-06-01",967.881978548697,1159.46251419369,1284.97731728069,1065.72492520114,1282.57434637926,1240.99619710329
"2022-07-01",1013.28919970141,1171.54759197913,1384.81725579611,1141.51588434383,1381.32459779277,1325.51177511609
"2022-08-01",1075.73763407064,1185.34256487469,1378.11604123075,1134.89203561595,1362.18133823469,1327.39474730543
"2022-09-01",1080.78615487369,1198.02573031885,1470.11924271342,1152.99876589766,1429.82486175734,1319.85561064516
