"VaR";"mean";"BBDC3.SA";"CPLE6.SA";"ENGI11.SA";"HYPE3.SA";"TIMS3.SA";"VIVT3.SA";"RADL3.SA";"MRFG3.SA";"MULT3.SA";"ELET3.SA";"DXCO3.SA";"GGBR4.SA";"PRIO3.SA";"CCRO3.SA";"CYRE3.SA"
"1";0,1221;-0,016;0;0;0,2091;0;0;0;0,7909;0;0;0;0;0;0;0;0
"2";0,1129;-0,0153;0;0;0,4182;0;0;0;0,5818;0;0;0;0;0;0;0;0
"3";0,1069;-0,0146;0;0;0,3951;0;0;0,0838;0,5211;0;0;0;0;0;0;0;0
"4";0,1018;-0,0139;0;0;0,368;0;0;0,169;0,463;0;0;0;0;0;0;0;0
"5";0,0973;-0,0132;0;0;0,3409;0;0;0,2542;0,4049;0;0;0;0;0;0;0;0
"6";0,0932;-0,0125;0;0;0,3138;0;0;0,3395;0,3468;0;0;0;0;0;0;0;0
"7";0,0899;-0,0118;0;0;0,2867;0;0;0,4247;0,2886;0;0;0;0;0;0;0;0
"8";0,0879;-0,0111;0;0;0,2696;0,0201;0;0,4428;0,26;0,0076;0;0;0;0;0;0;0
"9";0,0858;-0,0104;0;0;0,2548;0,0336;0;0,4535;0,2373;0,0207;0;0;0;0;0;0;0
"10";0,0847;-0,0096;0;0;0,2387;0,045;0,0061;0,4606;0,216;0,0335;0;0;0;0;0;0;0
"11";0,0842;-0,0089;0;0;0,2218;0,0552;0,0158;0,4656;0,1955;0,0461;0;0;0;0;0;0;0
"12";0,0837;-0,0082;0;0;0,2038;0,0645;0,0237;0,4703;0,1748;0,0575;0,0046;0;0;8e-04;0;0;0
"13";0,0839;-0,0075;0;0;0,1867;0,0696;0,0231;0,4758;0,1588;0,0652;0,01;0;0;0,0108;0;0;0
"14";0,0841;-0,0068;0;0;0,1695;0,0747;0,0225;0,4814;0,1427;0,0729;0,0155;0;0;0,0208;0;0;0
"15";0,0844;-0,0061;0;0;0,1523;0,0798;0,0219;0,4869;0,1267;0,0806;0,0209;0;0;0,0308;0;0;0
"16";0,0849;-0,0054;0;0;0,1352;0,0849;0,0213;0,4925;0,1107;0,0883;0,0264;0;0;0,0408;0;0;0
"17";0,0859;-0,0047;0;0;0,118;0,09;0,0206;0,498;0,0947;0,0959;0,0318;0;0;0,0508;0;0;0
"18";0,0873;-0,004;0;0;0,1017;0,0937;0,0198;0,501;0,0803;0,103;0,0308;0;0;0,0609;0;0,0087;0
"19";0,0887;-0,0033;0;0;0,0855;0,0973;0,019;0,5039;0,066;0,1101;0,0297;0;0;0,071;0;0,0175;0
"20";0,0902;-0,0026;0;0;0,0692;0,1009;0,0181;0,5068;0,0517;0,1172;0,0286;0;0;0,081;0;0,0264;0
"21";0,0918;-0,0019;0;0;0,0534;0,1045;0,0171;0,5097;0,0378;0,124;0,0274;0;0;0,0906;5e-04;0,035;0
"22";0,0934;-0,0012;0;0;0,0414;0,1082;0,0144;0,5129;0,0266;0,1283;0,025;0;0;0,0964;0,0044;0,0422;0
"23";0,0954;-5e-04;0;0;0,0294;0,112;0,0118;0,5161;0,0155;0,1327;0,0227;0;0;0,1022;0,0083;0,0494;0
"24";0,0974;2e-04;0;0;0,0173;0,1157;0,0091;0,5193;0,0044;0,137;0,0203;0;0;0,108;0,0122;0,0566;0
"25";0,0996;9e-04;0;0;0,0035;0,118;0,0069;0,5194;0;0,1413;0,0134;0;0;0,1152;0,0167;0,0656;0
"26";0,1018;0,0016;0;0;0;0,1195;8e-04;0,5122;0;0,1455;0;0;0;0,1236;0,0232;0,0752;0
"27";0,1035;0,0023;0;0;0;0,1195;0;0,4942;0;0,1497;0;0;0;0,1287;0,0314;0,0766;0
"28";0,1052;0,003;0;0;0;0,1194;0;0,4757;0;0,1539;0;0;0;0,1336;0,0395;0,0779;0
"29";0,107;0,0037;0;0;0;0,1192;0;0,4573;0;0,1582;0;0;0;0,1385;0,0476;0,0792;0
"30";0,1088;0,0044;0;0;0;0,1191;0;0,4388;0;0,1624;0;0;0;0,1434;0,0558;0,0806;0
"31";0,1107;0,0051;0;0;0;0,1189;0;0,4203;0;0,1666;0;6e-04;0;0,1481;0,0639;0,0816;0
"32";0,1126;0,0058;0;0;0;0,1188;0;0,4016;0;0,1704;0;0,0032;0;0,1519;0,0721;0,0819;0
"33";0,1146;0,0065;0;0;0;0,1187;0;0,3829;0;0,1743;0;0,0058;0;0,1558;0,0803;0,0822;0
"34";0,1165;0,0072;0;0;0;0,1186;0;0,3642;0;0,1782;0;0,0083;0;0,1596;0,0885;0,0825;0
"35";0,1185;0,008;0;0;0;0,1185;0;0,3456;0;0,1821;0;0,0109;0;0,1635;0,0967;0,0828;0
"36";0,1204;0,0087;0;0;0;0,1184;0;0,3269;0;0,186;0;0,0135;0;0,1673;0,1049;0,083;0
"37";0,1223;0,0094;0;0;0;0,1183;0;0,3082;0;0,1899;0;0,016;0;0,1712;0,1131;0,0833;0
