"VaR";"mean";"BBDC3.SA";"CPLE6.SA";"ENGI11.SA";"HYPE3.SA";"TIMS3.SA";"VIVT3.SA";"RADL3.SA";"MRFG3.SA";"MULT3.SA";"ELET3.SA"
"1";0,1363;-0,0164;0;0;0,0953;0;0;0;0,9047;0;0;0
"2";0,1241;-0,016;0;0;0,1907;0;0;0;0,8093;0;0;0
"3";0,1164;-0,0157;0;0;0,286;0;0;0;0,714;0;0;0
"4";0,1126;-0,0154;0;0;0,3814;0;0;0;0,6186;0;0;0
"5";0,1113;-0,0151;0;0;0,4146;0;0;0,0224;0,563;0;0;0
"6";0,1085;-0,0148;0;0;0,4022;0;0;0,0613;0,5365;0;0;0
"7";0,1059;-0,0144;0;0;0,3899;0;0;0,1001;0,51;0;0;0
"8";0,1035;-0,0141;0;0;0,3775;0;0;0,139;0,4835;0;0;0
"9";0,1012;-0,0138;0;0;0,3652;0;0;0,1778;0,457;0;0;0
"10";0,0992;-0,0135;0;0;0,3528;0;0;0,2167;0,4305;0;0;0
"11";0,0973;-0,0132;0;0;0,3405;0;0;0,2555;0,404;0;0;0
"12";0,0953;-0,0128;0;0;0,3281;0;0;0,2944;0,3775;0;0;0
"13";0,0934;-0,0125;0;0;0,3157;0;0;0,3333;0,351;0;0;0
"14";0,0919;-0,0122;0;0;0,3034;0;0;0,3721;0,3245;0;0;0
"15";0,0904;-0,0119;0;0;0,291;0;0;0,411;0,298;0;0;0
"16";0,0894;-0,0116;0;0;0,2806;0,0083;0;0,4335;0,2776;0;0;0
"17";0,0885;-0,0112;0;0;0,2732;0,0167;0;0,4401;0,2656;0,0043;0;0
"18";0,0874;-0,0109;0;0;0,2665;0,0229;0;0,445;0,2553;0,0103;0;0
"19";0,0865;-0,0106;0;0;0,2598;0,0291;0;0,4499;0,245;0,0163;0;0
"20";0,0856;-0,0103;0;0;0,2531;0,0352;0;0,4548;0,2347;0,0223;0;0
"21";0,0851;-0,0099;0;0;0,2459;0,0407;0,002;0,4585;0,2248;0,0281;0;0
"22";0,0847;-0,0096;0;0;0,2382;0,0453;0,0064;0,4608;0,2154;0,0339;0;0
