"VaR";"mean";"BBDC3.SA";"CPLE6.SA";"ENGI11.SA";"HYPE3.SA";"TIMS3.SA"
"1";0,1647;-0,0132;0;0;0,9866;0;0,0134
"2";0,1634;-0,013;0;0;0,9732;0;0,0268
"3";0,1621;-0,0129;0;0;0,9604;0,0018;0,0379
"4";0,1608;-0,0128;0;0;0,9487;0,007;0,0444
"5";0,1596;-0,0126;0;0;0,937;0,0122;0,0509
"6";0,1584;-0,0125;0;0;0,9253;0,0174;0,0574
"7";0,1571;-0,0123;0;0;0,9136;0,0226;0,0638
"8";0,1559;-0,0122;0;0;0,9019;0,0278;0,0703
"9";0,1547;-0,012;0;0;0,8902;0,033;0,0768
"10";0,1534;-0,0119;0;0;0,8785;0,0382;0,0833
"11";0,1522;-0,0118;0;0;0,8668;0,0434;0,0898
"12";0,151;-0,0116;0;0;0,8551;0,0486;0,0963
"13";0,1497;-0,0115;0;0;0,8433;0,0538;0,1028
"14";0,1485;-0,0113;0;0;0,8316;0,059;0,1093
"15";0,1473;-0,0112;0;0;0,8199;0,0643;0,1158
"16";0,146;-0,011;0;0;0,8082;0,0695;0,1223
"17";0,1448;-0,0109;0;0;0,7965;0,0747;0,1288
"18";0,1436;-0,0108;0;0;0,7848;0,0799;0,1353
"19";0,1423;-0,0106;0;0;0,7731;0,0851;0,1418
"20";0,1411;-0,0105;0;0;0,7614;0,0903;0,1483
"21";0,1398;-0,0103;0;0;0,7497;0,0955;0,1548
"22";0,1386;-0,0102;0;0;0,738;0,1007;0,1613
"23";0,1374;-0,01;0,0026;0;0,7258;0,1049;0,1667
"24";0,1361;-0,0099;0,0075;0;0,713;0,1082;0,1713
"25";0,1348;-0,0098;0,0124;0;0,7002;0,1114;0,176
"26";0,1335;-0,0096;0,0172;0;0,6875;0,1147;0,1806
"27";0,1322;-0,0095;0,0221;0;0,6747;0,118;0,1852
"28";0,1309;-0,0093;0,027;0;0,6619;0,1213;0,1898
"29";0,1296;-0,0092;0,0318;0;0,6492;0,1246;0,1944
"30";0,1284;-0,009;0,0367;0;0,6364;0,1279;0,199
"31";0,1271;-0,0089;0,0416;0;0,6236;0,1312;0,2036
