"CVaR";"mean";"Sharp";"EMBR3.SA";"WEGE3.SA";"GOLL4.SA";"CCRO3.SA";"ECOR3.SA";"LREN3.SA";"AMER3.SA"
"1";0,3894;0,0029;-0,2506;0;0;1;0;0;0;0
"2";0,3347;0,0033;-0,2931;0,1519;0;0,8481;0;0;0;0
"3";0,28;0,0036;-0,3534;0,3038;0;0,6962;0;0;0;0
"4";0,2271;0,0039;-0,3994;0,4557;0;0,5443;0;0;0;0
"5";0,1796;0,0042;-0,5376;0,6076;0;0,3924;0;0;0;0
"6";0,1448;0,0045;-0,6178;0,7404;0;0,25;0;0,0096;0;0
"7";0,1258;0,0048;-0,7174;0,6969;0;0,1975;0,0207;0,0849;0;0
"8";0,1112;0,0052;-0,862;0,6491;0;0,152;0,0859;0,113;0;0
"9";0,0987;0,0055;-0,8926;0,6013;0;0,1066;0,1511;0,141;0;0
"10";0,0923;0,0058;-0,9428;0,5561;0;0,062;0,2052;0,1675;0;0,0092
"11";0,0909;0,0061;-1,0482;0,5178;6e-04;0,0205;0,2323;0,1895;0;0,0393
"12";0,0884;0,0064;-1,0883;0,5064;0,0262;0,0188;0,226;0,1851;0;0,0375
"13";0,0861;0,0067;-1,0795;0,4949;0,0519;0,0171;0,2197;0,1808;0;0,0358
"14";0,084;0,0071;-1,0448;0,4834;0,0775;0,0153;0,2133;0,1764;0;0,034
"15";0,0822;0,0074;-1,0647;0,472;0,1031;0,0136;0,207;0,172;0;0,0323
"16";0,0807;0,0077;-1,121;0,4623;0,1204;0,0113;0,199;0,168;0,0085;0,0304
"17";0,0794;0,008;-1,1567;0,454;0,1316;0,0085;0,1898;0,1644;0,0234;0,0284
"18";0,0781;0,0083;-1,1821;0,4457;0,1427;0,0057;0,1805;0,1607;0,0382;0,0265
"19";0,0769;0,0087;-1,2088;0,4374;0,1538;0,003;0,1712;0,157;0,0531;0,0245
"20";0,0756;0,009;-1,2371;0,4291;0,165;2e-04;0,162;0,1533;0,0679;0,0226
"21";0,0744;0,0093;-1,2702;0,4202;0,1777;0;0,1526;0,1477;0,0822;0,0195
"22";0,0733;0,0096;-1,3473;0,4113;0,1906;0;0,1433;0,1421;0,0963;0,0164
"23";0,0729;0,0099;-1,3355;0,4024;0,2035;0;0,1339;0,1364;0,1105;0,0133
"24";0,0727;0,0102;-1,3333;0,3935;0,2164;0;0,1245;0,1307;0,1247;0,0102
"25";0,0726;0,0106;-1,3226;0,3847;0,2292;0;0,1152;0,125;0,1389;0,0071
"26";0,0725;0,0109;-1,3121;0,3758;0,2421;0;0,1058;0,1193;0,153;0,0039
"27";0,0724;0,0112;-1,3015;0,3669;0,255;0;0,0965;0,1136;0,1672;8e-04
"28";0,0725;0,0115;-1,3651;0,3575;0,2679;0;0,0859;0,1077;0,1811;0
"29";0,0728;0,0118;-1,4406;0,3479;0,2807;0;0,075;0,1016;0,1948;0
"30";0,0734;0,0122;-1,4123;0,3383;0,2936;0;0,064;0,0956;0,2085;0
"31";0,074;0,0125;-1,3757;0,3287;0,3065;0;0,0531;0,0896;0,2222;0
"32";0,0746;0,0128;-1,3406;0,3191;0,3193;0;0,0421;0,0835;0,2359;0
"33";0,0752;0,0131;-1,3069;0,3096;0,3322;0;0,0312;0,0775;0,2496;0
"34";0,0759;0,0134;-1,3178;0,3;0,3451;0;0,0202;0,0715;0,2633;0
"35";0,0767;0,0137;-1,3417;0,2904;0,3579;0;0,0093;0,0654;0,277;0
"36";0,0775;0,0141;-1,3674;0,2804;0,3709;0;0;0,0583;0,2904;0
"37";0,0782;0,0144;-1,367;0,2681;0,3846;0;0;0,045;0,3023;0
"38";0,079;0,0147;-1,3639;0,2557;0,3983;0;0;0,0317;0,3143;0
"39";0,0797;0,015;-1,3582;0,2434;0,412;0;0;0,0184;0,3262;0
"40";0,0808;0,0153;-1,2191;0,2311;0,4257;0;0;0,0051;0,3382;0
"41";0,0826;0,0156;-1,1525;0,2118;0,4407;0;0;0;0,3475;0
"42";0,0851;0,016;-1,0795;0,1882;0,4566;0;0;0;0,3552;0
"43";0,0879;0,0163;-1,0393;0,1646;0,4724;0;0;0;0,363;0
"44";0,0908;0,0166;-1,0321;0,141;0,4883;0;0;0;0,3707;0
"45";0,0938;0,0169;-1,025;0,1174;0,5041;0;0;0;0,3784;0
"46";0,0967;0,0172;-1,0179;0,0939;0,52;0;0;0;0,3862;0
"47";0,0999;0,0176;-0,9737;0,0703;0,5358;0;0;0;0,3939;0
"48";0,1032;0,0179;-0,9065;0,0467;0,5517;0;0;0;0,4017;0
"49";0,1064;0,0182;-0,8475;0,0231;0,5675;0;0;0;0,4094;0
"50";0,1184;0,0185;-0,6636;0;1;0;0;0;0;0
