"CVaR";"mean";"Sharp";"SLCE3.SA";"SMTO3.SA";"BRFS3.SA";"JBSS3.SA";"MRFG3.SA";"BEEF3.SA";"ABEV3.SA";"PCAR3.SA"
"1";0,2393;-0,0047;-0,5794;0;0;0,5684;0;0,4316;0;0;0
"2";0,2227;-0,0043;-0,5788;0;0;0,6275;0;0,3112;0;0;0,0613
"3";0,2116;-0,004;-0,6486;0;0;0,5778;0;0,2865;0;0;0,1357
"4";0,2005;-0,0037;-0,7385;0;0;0,5281;0;0,2618;0;0;0,2101
"5";0,1918;-0,0034;-0,6828;0;0;0,4784;0;0,2372;0;0;0,2845
"6";0,185;-0,0031;-0,6915;0;0;0,4352;0;0,217;0;0,0077;0,3401
"7";0,1786;-0,0028;-0,7437;0;0;0,414;0;0,2119;0;0,0413;0,3329
"8";0,1721;-0,0024;-0,8051;0;0;0,3927;0;0,2068;0;0,0748;0,3256
"9";0,1659;-0,0021;-0,8619;0,0056;0;0,3747;0;0,2015;0;0,1004;0,3178
"10";0,1613;-0,0018;-0,9081;0,018;0;0,3606;0;0,1959;0;0,1163;0,3093
"11";0,1567;-0,0015;-0,9622;0,0305;0;0,3465;0;0,1902;0;0,1321;0,3007
"12";0,1523;-0,0012;-1,0052;0,0429;0;0,3323;0;0,1846;0;0,148;0,2922
"13";0,148;-8e-04;-1,0224;0,0553;0;0,3182;0;0,1789;0;0,1639;0,2837
"14";0,1438;-5e-04;-1,0403;0,0677;0;0,3041;0;0,1733;0;0,1797;0,2751
"15";0,1395;-2e-04;-1,059;0,0802;0;0,29;0;0,1676;0;0,1956;0,2666
"16";0,1353;1e-04;-1,0786;0,0926;0;0,2759;0;0,162;0;0,2114;0,2581
"17";0,1311;4e-04;-1,099;0,105;0;0,2618;0;0,1563;0;0,2273;0,2496
"18";0,1276;7e-04;-1,1205;0,1175;0;0,2477;0;0,1507;0;0,2432;0,241
"19";0,1244;0,0011;-1,143;0,1299;0;0,2335;0;0,145;0;0,259;0,2325
"20";0,1216;0,0014;-1,1245;0,1423;0;0,2194;0;0,1394;0;0,2749;0,224
"21";0,1191;0,0017;-1,1525;0,1547;0;0,2053;0;0,1337;0;0,2908;0,2154
"22";0,1172;0,002;-1,1685;0,1672;0;0,1912;0;0,1281;0;0,3066;0,2069
"23";0,1154;0,0023;-1,1506;0,1777;0,0027;0,1749;0;0,1208;0,0068;0,318;0,1991
"24";0,1138;0,0026;-1,169;0,1875;0,0073;0,1581;0;0,1134;0,0141;0,328;0,1916
"25";0,1125;0,003;-1,1462;0,1972;0,0119;0,1414;0;0,106;0,0215;0,3381;0,184
"26";0,1111;0,0033;-1,1201;0,2069;0,0165;0,1246;0;0,0985;0,0289;0,3482;0,1764
"27";0,1098;0,0036;-1,0949;0,2167;0,0211;0,1078;0;0,0911;0,0363;0,3582;0,1688
"28";0,1084;0,0039;-1,0707;0,2264;0,0257;0,091;0;0,0836;0,0437;0,3683;0,1612
"29";0,1071;0,0042;-1,0473;0,2361;0,0303;0,0743;0;0,0762;0,051;0,3784;0,1536
"30";0,1059;0,0046;-1,0551;0,2459;0,035;0,0575;0;0,0688;0,0584;0,3884;0,1461
"31";0,1052;0,0049;-1,1143;0,2531;0,0383;0,0417;0,0055;0,0613;0,0649;0,3959;0,1392
"32";0,1051;0,0052;-1,0508;0,259;0,0409;0,0266;0,0142;0,0539;0,0709;0,4018;0,1328
"33";0,1051;0,0055;-0,9937;0,2648;0,0435;0,0114;0,0228;0,0464;0,0768;0,4077;0,1264
"34";0,1053;0,0058;-0,9649;0,2724;0,0454;0;0,032;0,0377;0,0816;0,4123;0,1185
"35";0,1056;0,0061;-0,9288;0,2852;0,045;0;0,0429;0,0251;0,0827;0,4131;0,106
"36";0,106;0,0065;-0,8951;0,298;0,0447;0;0,0537;0,0124;0,0838;0,4139;0,0934
"37";0,1064;0,0068;-0,8797;0,3109;0,0443;0;0,0646;0;0,0847;0,4148;0,0807
"38";0,1072;0,0071;-0,8617;0,3283;0,043;0;0,077;0;0,0727;0,42;0,0589
"39";0,108;0,0074;-0,8442;0,3458;0,0418;0;0,0894;0;0,0608;0,4252;0,037
"40";0,1089;0,0077;-0,8273;0,3632;0,0405;0;0,1018;0;0,0489;0,4304;0,0151
"41";0,1092;0,0081;-0,8183;0,3826;0,0383;0;0,1171;0;0,0319;0,4301;0
"42";0,11;0,0084;-0,9267;0,4064;0,034;0;0,1389;0;0,0035;0,4172;0
"43";0,1108;0,0087;-0,8926;0,4469;0,0123;0;0,1658;0;0;0,3751;0
"44";0,1109;0,009;-0,8302;0,4895;0;0;0,1931;0;0;0,3174;0
"45";0,1116;0,0093;-0,7769;0,532;0;0;0,22;0;0;0,2479;0
"46";0,1126;0,0096;-0,7295;0,5745;0;0;0,247;0;0;0,1785;0
"47";0,1143;0,01;-0,6875;0,617;0;0;0,2739;0;0;0,1091;0
"48";0,1181;0,0103;-0,6207;0,6595;0;0;0,3009;0;0;0,0396;0
"49";0,1465;0,0106;-0,5377;1;0;0;0;0;0;0;0
