"CVaR";"mean";"Sharp";"BPAN4.SA";"BBDC3.SA";"BBDC4.SA";"BBAS3.SA";"ITSA4.SA";"ITUB4.SA";"SANB11.SA";"B3SA3.SA";"CIEL3.SA";"MULT3.SA"
"1";0,2461;-2e-04;-0,4955;0,0319;0;0;0;0;0;0;0,0303;0,9378;0
"2";0,2319;0;-0,5547;0,0566;0;0;0;0;0;0;0,0672;0,8762;0
"3";0,2181;1e-04;-0,6173;0,0814;0;0;0;0;0;0;0,1041;0,8145;0
"4";0,2046;3e-04;-0,6706;0,1062;0;0;0;0;0;0;0,1409;0,7529;0
"5";0,1998;4e-04;-0,6951;0,1309;0;0;0;0;0;0;0,1778;0,6913;0
"6";0,197;6e-04;-0,7005;0,1424;0;0;0;0;0;0;0,1957;0,648;0,014
"7";0,1935;8e-04;-0,7153;0,1385;0;0;0;0;0;0;0,1916;0,6258;0,0441
"8";0,1901;9e-04;-0,7473;0,1346;0;0;0;0;0;0;0,1876;0,6036;0,0742
"9";0,1868;0,0011;-0,7825;0,1307;0;0;0;0;0;0;0,1836;0,5815;0,1042
"10";0,1834;0,0012;-0,8213;0,1268;0;0;0;0;0;0;0,1795;0,5593;0,1343
"11";0,1806;0,0014;-0,8114;0,1229;0;0;0;0;0;0;0,1755;0,5371;0,1644
"12";0,1777;0,0015;-0,7922;0,1189;0;0;0;0,0089;0;0;0,1702;0,5166;0,1854
"13";0,1749;0,0017;-0,8329;0,1147;0;0;0;0,0275;0;0;0,1635;0,4978;0,1965
"14";0,1723;0,0019;-0,8642;0,1106;0;0;0;0,0462;0;0;0,1567;0,479;0,2075
"15";0,1703;0,002;-0,848;0,1064;0;0;0;0,0649;0;0;0,15;0,4602;0,2185
"16";0,1681;0,0022;-0,8299;0,102;0;0;0;0,0765;0;0,0071;0,1435;0,4423;0,2287
"17";0,166;0,0023;-0,8121;0,0974;0;0;0;0,087;0;0,0153;0,137;0,4245;0,2387
"18";0,1638;0,0025;-0,795;0,0929;0;0;0;0,0976;0;0,0235;0,1306;0,4068;0,2487
"19";0,162;0,0026;-0,8173;0,0884;0;0;0;0,1081;0;0,0317;0,1241;0,389;0,2587
"20";0,1606;0,0028;-0,8791;0,0839;0;0;0;0,1186;0;0,0399;0,1177;0,3712;0,2687
"21";0,1599;0,003;-0,8651;0,0794;0;0;0;0,1292;0;0,0481;0,1112;0,3535;0,2787
"22";0,1604;0,0031;-0,8696;0,0749;0;0;0;0,1397;0;0,0563;0,1047;0,3357;0,2887
"23";0,161;0,0033;-0,8642;0,0704;0;0;0;0,1502;0;0,0645;0,0983;0,3179;0,2987
"24";0,1616;0,0034;-0,8588;0,0658;0;0;0;0,1608;0;0,0727;0,0918;0,3002;0,3087
"25";0,1622;0,0036;-0,8535;0,0613;0;0;0;0,1713;0;0,0809;0,0854;0,2824;0,3187
"26";0,1628;0,0037;-0,8483;0,0568;0;0;0;0,1818;0;0,0892;0,0789;0,2646;0,3287
"27";0,1634;0,0039;-0,843;0,0523;0;0;0;0,1924;0;0,0974;0,0725;0,2469;0,3387
"28";0,164;0,0041;-0,8378;0,0478;0;0;0;0,2029;0;0,1056;0,066;0,2291;0,3487
"29";0,1646;0,0042;-0,8327;0,0433;0;0;0;0,2134;0;0,1138;0,0595;0,2113;0,3587
"30";0,1652;0,0044;-0,8276;0,0388;0;0;0;0,224;0;0,122;0,0531;0,1936;0,3687
"31";0,1658;0,0045;-0,8225;0,0342;0;0;0;0,2345;0;0,1302;0,0466;0,1758;0,3787
"32";0,1664;0,0047;-0,8175;0,0297;0;0;0;0,2451;0;0,1384;0,0402;0,158;0,3887
"33";0,1671;0,0048;-0,8087;0,0252;0;0;0;0,2556;0;0,1466;0,0337;0,1403;0,3987
"34";0,1679;0,005;-0,7863;0,0207;0;0;0;0,2661;0;0,1548;0,0272;0,1225;0,4087
"35";0,1687;0,0052;-0,7651;0,0162;0;0;0;0,2767;0;0,163;0,0208;0,1047;0,4187
"36";0,1695;0,0053;-0,745;0,0117;0;0;0;0,2872;0;0,1712;0,0143;0,0869;0,4287
"37";0,1703;0,0055;-0,7257;0,0072;0;0;0;0,2977;0;0,1794;0,0079;0,0692;0,4387
"38";0,1711;0,0056;-0,7074;0,0026;0;0;0;0,3083;0;0,1876;0,0014;0,0514;0,4487
"39";0,1721;0,0058;-0,6857;0;0;0;0;0,3156;0;0,1959;0;0,0295;0,459
"40";0,1732;0,0059;-0,6618;0;0;0;0;0,3218;0;0,2039;0;0,005;0,4692
"41";0,1731;0,0061;-0,6417;0;0,0767;0;0;0,2713;0;0,217;0;0;0,435
"42";0,1732;0,0063;-0,6572;0;0,1776;0;0;0,2038;0;0,226;0;0;0,3926
"43";0,1733;0,0064;-0,6735;0;0,2785;0;0;0,1363;0;0,2351;0;0;0,3501
"44";0,1736;0,0066;-0,6955;0;0,3793;0;0;0,0687;0;0,2442;0;0;0,3077
"45";0,1761;0,0067;-0,6975;0;0,4802;0;0;0,0012;0;0,2533;0;0;0,2652
"46";0,1774;0,0069;-0,6591;0;0,574;0;0;0;0;0,2435;0;0;0,1824
"47";0,1788;0,007;-0,6347;0;0,6676;0;0;0;0;0,2334;0;0;0,0989
"48";0,1803;0,0072;-0,6203;0;0,7613;0;0;0;0;0,2233;0;0;0,0154
"49";0,197;0,0073;-0,5105;0;1;0;0;0;0;0;0;0;0
