"CVaR";"mean";"Sharp";"BRAP4.SA";"VALE3.SA";"GGBR4.SA";"GOAU4.SA";"CSNA3.SA";"USIM5.SA";"BRKM5.SA";"DXCO3.SA";"SUZB3.SA"
"1";0,3681;-0,0078;-0,4236;0;0;0;0,949;0;0,0283;0;0,0227;0
"2";0,3591;-0,0074;-0,4287;0;0;0;0,9276;0;0,0208;0;0,0517;0
"3";0,3501;-0,0071;-0,434;0;0;0;0,9061;4e-04;0,013;0;0,0805;0
"4";0,3411;-0,0067;-0,4394;0;0;0;0,884;0,0044;0,0037;0;0,108;0
"5";0,3327;-0,0063;-0,4463;0;0;0;0,8621;0,0062;0;0;0,1211;0,0106
"6";0,3246;-0,006;-0,4542;0;0;0;0,84;0,0067;0;0;0,1264;0,0269
"7";0,3165;-0,0056;-0,4624;0;0;0;0,8179;0,0072;0;0;0,1316;0,0433
"8";0,3084;-0,0053;-0,471;0;0;0;0,7958;0,0077;0;0;0,1368;0,0597
"9";0,3003;-0,0049;-0,48;0;0;0;0,7737;0,0082;0;0;0,142;0,0761
"10";0,2922;-0,0046;-0,4894;0;0;0;0,7516;0,0087;0;0;0,1473;0,0925
"11";0,2841;-0,0042;-0,4993;0;0;0;0,7295;0,0092;0;0;0,1525;0,1089
"12";0,276;-0,0039;-0,5097;0;0;0;0,7074;0,0096;0;0;0,1577;0,1253
"13";0,2679;-0,0035;-0,5206;0;0;0;0,6853;0,0101;0;0;0,1629;0,1417
"14";0,2598;-0,0031;-0,5322;0;0;0;0,6632;0,0106;0;0;0,1682;0,158
"15";0,2517;-0,0028;-0,5443;0;0;0;0,6411;0,0111;0;0;0,1734;0,1744
"16";0,2437;-0,0024;-0,5578;0;0,001;0;0,619;0,011;0;0,0024;0,178;0,1886
"17";0,2362;-0,0021;-0,5723;0;0,0123;0;0,5949;0,0078;0;0,0065;0,1823;0,1962
"18";0,2287;-0,0017;-0,5877;0;0,0237;0;0,5708;0,0045;0;0,0106;0,1866;0,2038
"19";0,2213;-0,0014;-0,6042;0;0,0351;0;0,5467;0,0013;0;0,0146;0,1909;0,2114
"20";0,2137;-0,001;-0,6216;0;0,0449;0;0,522;0;0;0,0186;0,1946;0,2199
"21";0,206;-7e-04;-0,6402;0;0,0538;0;0,4971;0;0;0,0224;0,1978;0,2289
"22";0,1984;-3e-04;-0,6577;0;0,0627;0;0,4721;0;0;0,0262;0,2011;0,238
"23";0,1907;1e-04;-0,6759;0;0,0715;0;0,4471;0;0;0,03;0,2043;0,247
"24";0,1831;4e-04;-0,6952;0;0,0804;0;0,4221;0;0;0,0338;0,2076;0,2561
"25";0,1756;8e-04;-0,7223;0;0,0893;0;0,3972;0;0;0,0376;0,2109;0,2651
"26";0,1682;0,0011;-0,7467;0;0,0981;0;0,3722;0;0;0,0414;0,2141;0,2741
"27";0,161;0,0015;-0,762;0;0,107;0;0,3472;0;0;0,0452;0,2174;0,2832
"28";0,1541;0,0018;-0,7988;0;0,1159;0;0,3222;0;0;0,0491;0,2206;0,2922
"29";0,1472;0,0022;-0,8437;0;0,1247;0;0,2973;0;0;0,0529;0,2239;0,3012
"30";0,1408;0,0025;-0,8454;0;0,1336;0;0,2723;0;0;0,0567;0,2271;0,3103
"31";0,1347;0,0029;-0,8781;0;0,1425;0;0,2473;0;0;0,0605;0,2304;0,3193
"32";0,1287;0,0033;-0,9137;0;0,1513;0;0,2223;0;0;0,0643;0,2337;0,3283
"33";0,1229;0,0036;-0,9075;0;0,1602;0;0,1974;0;0;0,0681;0,2369;0,3374
"34";0,1172;0,004;-0,8927;0;0,1691;0;0,1724;0;0;0,0719;0,2402;0,3464
"35";0,1116;0,0043;-0,8782;0;0,1779;0;0,1474;0;0;0,0757;0,2434;0,3555
"36";0,106;0,0047;-0,8772;0;0,1868;0;0,1224;0;0;0,0796;0,2467;0,3645
"37";0,1014;0,005;-0,9187;0;0,1957;0;0,0975;0;0;0,0834;0,25;0,3735
"38";0,0987;0,0054;-0,9109;0;0,2045;0;0,0725;0;0;0,0872;0,2532;0,3826
"39";0,0963;0,0058;-0,9062;0;0,2134;0;0,0475;0;0;0,091;0,2565;0,3916
"40";0,0939;0,0061;-0,8916;0;0,2223;0;0,0225;0;0;0,0948;0,2597;0,4006
"41";0,0914;0,0065;-0,8669;0;0,2261;0;0;0;0;0,0993;0,261;0,4136
"42";0,0883;0,0068;-0,8606;0;0,1835;0;0;0;0;0,1106;0,2433;0,4626
"43";0,0926;0,0072;-0,8904;0;0,141;0;0;0;0;0,1219;0,2256;0,5115
"44";0,0995;0,0075;-0,9367;0;0,0984;0;0;0;0;0,1332;0,208;0,5605
"45";0,1065;0,0079;-0,9887;0;0,0558;0;0;0;0;0,1444;0,1903;0,6095
"46";0,1139;0,0082;-0,9512;0;0,0132;0;0;0;0;0,1557;0,1727;0,6584
"47";0,124;0,0086;-1,0665;0;0;0;0;0;0;0,164;0,1122;0,7238
"48";0,137;0,009;-0,9594;0;0;0;0;0;0;0,1709;0,0326;0,7965
"49";0,1514;0,0093;-1,011;0;0;0;0;0;0;0;0;1
