"CVaR";"mean";"Sharp";"CMIG4.SA";"CPLE6.SA";"CPFE3.SA";"ELET3.SA";"ELET6.SA";"ENGI11.SA";"ENEV3.SA";"EGIE3.SA";"EQTL3.SA";"TAEE11.SA";"SBSP3.SA"
"1";0,4995;-0,0191;-0,2919;0;0;0,0306;0;0;0;0,9694;0;0;0;0
"2";0,4849;-0,0183;-0,2965;0;0;0,0612;0;0;0;0,9388;0;0;0;0
"3";0,4704;-0,0174;-0,3013;0;0;0,0919;0;0;0;0,9081;0;0;0;0
"4";0,4559;-0,0165;-0,3064;0;0;0,1225;0;0;0;0,8775;0;0;0;0
"5";0,4413;-0,0156;-0,3117;0;0;0,1531;0;0;0;0,8469;0;0;0;0
"6";0,4268;-0,0148;-0,3174;0;0;0,1837;0;0;0;0,8163;0;0;0;0
"7";0,4123;-0,0139;-0,3233;0;0;0,2143;0;0;0;0,7857;0;0;0;0
"8";0,3981;-0,013;-0,3335;0;0;0,245;0;0;0;0,755;0;0;0;0
"9";0,384;-0,0121;-0,3456;0;0;0,2756;0;0;0;0,7244;0;0;0;0
"10";0,3698;-0,0113;-0,3589;0;0;0,3062;0;0;0;0,6938;0;0;0;0
"11";0,3557;-0,0104;-0,3736;0;0;0,3368;0;0;0;0,6632;0;0;0;0
"12";0,3416;-0,0095;-0,3897;0;0;0,3667;0;7e-04;0;0,6326;0;0;0;0
"13";0,3274;-0,0086;-0,4072;0;0;0,3956;0;0,0024;0;0,602;0;0;0;0
"14";0,3132;-0,0078;-0,4269;0;0;0,4244;0;0,0042;0;0,5714;0;0;0;0
"15";0,299;-0,0069;-0,449;0;0,0041;0,4498;0;0,0051;0;0,541;0;0;0;0
"16";0,2847;-0,006;-0,4741;0;0,0162;0,4685;0;0,0045;0;0,5108;0;0;0;0
"17";0,2704;-0,0051;-0,5028;0;0,0283;0,4872;0;0,0039;0;0,4806;0;0;0;0
"18";0,2573;-0,0043;-0,5308;0;0,0317;0,4895;0;0,0022;0;0,4537;0,0228;0;0;0
"19";0,2451;-0,0034;-0,558;0;0,0282;0,4786;0;0;0;0,4293;0,0639;0;0;0
"20";0,2331;-0,0025;-0,5758;0;0,0238;0,4668;0;0;0;0,4048;0,1046;0;0;0
"21";0,2212;-0,0016;-0,5891;0;0,0194;0,4551;0;0;0;0,3804;0,1452;0;0;0
"22";0,2093;-8e-04;-0,6034;0;0,015;0,4433;0;0;0;0,3559;0,1858;0;0;0
"23";0,1974;1e-04;-0,6187;0;0,0106;0,4315;0;0;0;0,3315;0,2264;0;0;0
"24";0,1855;0,001;-0,6352;0;0,0062;0,4197;0;0;0;0,307;0,2671;0;0;0
"25";0,1746;0,0019;-0,7108;0;0,0018;0,4079;0;0;0;0,2826;0,3077;0;0;0
"26";0,1645;0,0027;-0,7777;0;0;0,3932;0;0;0,0167;0,2618;0,3282;0;0;0
"27";0,155;0,0036;-0,8034;0;0;0,3766;0;0;0,0436;0,2433;0,3365;0;0;0
"28";0,1455;0,0045;-0,8316;0;0;0,36;0;0;0,0705;0,2247;0,3448;0;0;0
"29";0,1363;0,0054;-0,8341;0;0;0,3435;0;0;0,0974;0,2061;0,353;0;0;0
"30";0,1271;0,0062;-0,8235;0;0;0,3269;0;0;0,1243;0,1876;0,3613;0;0;0
"31";0,118;0,0071;-0,813;0;0;0,3103;0;0;0,1512;0,169;0,3695;0;0;0
"32";0,1089;0,008;-0,8025;0;0;0,2937;0;0;0,1781;0,1504;0,3778;0;0;0
"33";0,1012;0,0089;-0,8001;0;0;0,2749;0;0;0,1961;0,1336;0,3734;0;0,022;0
"34";0,0951;0,0097;-0,8169;0;0;0,2564;0;0;0,2098;0,1181;0,3654;0,0084;0,042;0
"35";0,0918;0,0106;-0,8882;0;0;0,239;0;0;0,2134;0,1054;0,3502;0,0387;0,0532;0
"36";0,0899;0,0115;-0,9218;0;0;0,2217;0;0;0,217;0,0928;0,335;0,0691;0,0644;0
"37";0,088;0,0124;-0,9567;0;0;0,2043;0;0;0,2207;0,0802;0,3198;0,0994;0,0756;0
"38";0,0861;0,0132;-0,9953;0;0;0,1869;0;0;0,2243;0,0676;0,3046;0,1298;0,0868;0
"39";0,0841;0,0141;-1,0384;0;0;0,1696;0;0;0,228;0,055;0,2894;0,1602;0,098;0
"40";0,0824;0,015;-1,0562;0;0;0,1522;0;0;0,2316;0,0423;0,2741;0,1905;0,1092;0
"41";0,0812;0,0159;-0,9597;0;0;0,1348;0;0;0,2352;0,0297;0,2589;0,2209;0,1204;0
"42";0,0803;0,0167;-0,9229;0;0;0,1175;0;0;0,2389;0,0171;0,2437;0,2513;0,1316;0
"43";0,0805;0,0176;-1,0368;0;0;0,1001;0;0;0,2425;0,0045;0,2285;0,2816;0,1428;0
"44";0,0816;0,0185;-0,9973;0;0;0,0649;0;0;0,2517;0;0,202;0,3275;0,1539;0
"45";0,0847;0,0194;-1,1385;0;0;0,0201;0;0;0,2639;0;0,1694;0,3818;0,1649;0
"46";0,0883;0,0203;-1,1159;0;0;0;0;0;0,2774;0;0,1018;0,448;0,1728;0
"47";0,0919;0,0211;-1,0041;0;0;0;0;0;0,2918;0;0,006;0,5239;0,1783;0
"48";0,1038;0,022;-0,686;0;0;0;0;0;0,2284;0;0;0,7254;0,0462;0
"49";0,1183;0,0229;-0,6105;0;0;0;0;0;0;0;0;1;0;0
