"VaR";"mean";"BBDC3.SA";"CPLE6.SA";"ENGI11.SA";"HYPE3.SA";"TIMS3.SA";"VIVT3.SA";"RADL3.SA";"MRFG3.SA";"MULT3.SA";"ELET3.SA";"DXCO3.SA";"GGBR4.SA";"PRIO3.SA";"CCRO3.SA";"CYRE3.SA"
"1";0,1136;-0,0184;0;0;0,4738;0;0;0;0,5262;0;0;0;0;0;0;0;0
"2";0,1118;-0,0178;0;0;0,5451;0;0;0,0267;0,4049;0;0,0233;0;0;0;0;0;0
"3";0,1081;-0,0172;0;0;0,5122;0;0;0,0651;0,3764;0;0,0463;0;0;0;0;0;0
"4";0,1044;-0,0166;0;0;0,4792;0;0;0,1035;0,348;0;0,0693;0;0;0;0;0;0
"5";0,1007;-0,016;0;0;0,4463;0;0,0016;0,1404;0,3199;0;0,0919;0;0;0;0;0;0
"6";0,0972;-0,0154;0;0;0,4132;0;0,0163;0,1645;0,295;0;0,111;0;0;0;0;0;0
"7";0,0951;-0,0148;0;0;0,3801;0;0,0311;0,1885;0,2701;0;0,1302;0;0;0;0;0;0
"8";0,0936;-0,0143;0;0;0,347;0;0,0459;0,2126;0,2452;0;0,1493;0;0;0;0;0;0
"9";0,0923;-0,0137;0;0;0,3262;0;0,055;0,2247;0,2284;0,0094;0,1563;0;0;0;0;0;0
"10";0,0909;-0,0131;0;0;0,3077;0,005;0,0604;0,2356;0,2122;0,0187;0,1605;0;0;0;0;0;0
"11";0,0898;-0,0125;0;0;0,2899;0,0128;0,0639;0,2465;0,1957;0,0274;0,1638;0;0;0;0;0;0
"12";0,0893;-0,0119;0;0;0,2738;0,0189;0,0642;0,2569;0,1818;0,035;0,1642;0;0;0,0053;0;0;0
"13";0,0891;-0,0113;0;0;0,2583;0,0244;0,0631;0,267;0,169;0,0421;0,1634;0;0;0,0128;0;0;0
"14";0,0888;-0,0107;0;0;0,2428;0,0298;0,062;0,2771;0,1562;0,0492;0,1626;0;0;0,0203;0;0;0
"15";0,0886;-0,0101;0;0;0,2273;0,0352;0,061;0,2872;0,1434;0,0563;0,1618;0;0;0,0278;0;0;0
"16";0,0885;-0,0095;0;0;0,2118;0,0407;0,0599;0,2974;0,1306;0,0634;0,161;0;0;0,0353;0;0;0
"17";0,0883;-0,0089;0;0;0,1963;0,0461;0,0588;0,3075;0,1178;0,0705;0,1602;0;0;0,0428;0;0;0
"18";0,0885;-0,0084;0;0;0,1808;0,0515;0,0578;0,3176;0,105;0,0776;0,1593;0;0;0,0503;0;0;0
"19";0,0888;-0,0078;0;0;0,1653;0,057;0,0567;0,3277;0,0922;0,0847;0,1585;0;0;0,0578;0;0;0
"20";0,0893;-0,0072;0;0;0,1522;0,0621;0,055;0,3357;0,0807;0,0903;0,1584;0;0;0,0635;0,0022;0;0
"21";0,09;-0,0066;0;0;0,1406;0,0667;0,053;0,3419;0,0702;0,095;0,1575;0;0;0,0682;0,0055;0,0015;0
"22";0,0908;-0,006;0;0;0,1294;0,0705;0,0508;0,3467;0,0604;0,0995;0,1532;0;0;0,0731;0,0086;0,0079;0
"23";0,0916;-0,0054;0;0;0,1181;0,0742;0,0487;0,3514;0,0507;0,1039;0,1489;0;0;0,078;0,0118;0,0142;0
"24";0,0929;-0,0048;0;0;0,1069;0,078;0,0466;0,3561;0,041;0,1084;0,1446;0;0;0,0828;0,015;0,0206;0
"25";0,0943;-0,0042;0;0;0,0957;0,0818;0,0445;0,3609;0,0313;0,1128;0,1402;0;0;0,0877;0,0182;0,027;0
"26";0,0957;-0,0036;0;0;0,0844;0,0856;0,0423;0,3656;0,0215;0,1173;0,1359;0;0;0,0926;0,0213;0,0334;0
"27";0,0971;-0,0031;0;0;0,0732;0,0893;0,0402;0,3704;0,0118;0,1217;0,1316;0;0;0,0975;0,0245;0,0398;0
"28";0,0984;-0,0025;0;0;0,0619;0,0931;0,0381;0,3751;0,0021;0,1262;0,1273;0;0;0,1024;0,0277;0,0461;0
"29";0,0997;-0,0019;0;0;0,0484;0,0955;0,0364;0,3773;0;0,1307;0,1171;0;0;0,1088;0,0314;0,0545;0
"30";0,101;-0,0013;0;0;0,0343;0,0975;0,0348;0,3787;0;0,1353;0,1052;0;0;0,1156;0,0352;0,0634;0
"31";0,1023;-7e-04;0;0;0,0202;0,0994;0,0332;0,3802;0;0,1399;0,0933;0;0;0,1225;0,039;0,0723;0
"32";0,1042;-1e-04;0;0;0,0061;0,1014;0,0316;0,3817;0;0,1445;0,0815;0;0;0,1293;0,0428;0,0812;0
"33";0,1063;5e-04;0;0;0;0,1035;0,0275;0,3797;0;0,1492;0,064;0;0;0,1368;0,0478;0,0915;0
"34";0,1086;0,0011;0;0;0;0,1055;0,0217;0,3751;0;0,154;0,0424;0;0;0,1449;0,0535;0,1028;0
"35";0,1108;0,0017;0;0;0;0,1076;0,0159;0,3705;0;0,1589;0,0208;0;0;0,153;0,0593;0,1142;0
"36";0,1132;0,0023;0;0;0;0,1096;0,0102;0,3652;0;0,1636;0;0,001;0;0,1606;0,0651;0,1248;0
"37";0,1154;0,0028;0;0;0;0,1108;0,0038;0,3484;0;0,1678;0;0,0033;0;0,166;0,0737;0,1262;0
"38";0,1177;0,0034;0;0;0;0,1116;0;0,3299;0;0,1722;0;0,0056;0;0,171;0,0822;0,1276;0
"39";0,1199;0,004;0;0;0;0,1116;0;0,3086;0;0,1768;0;0,0082;0;0,1752;0,0908;0,1288;0
"40";0,1221;0,0046;0;0;0;0,1116;0;0,2873;0;0,1814;0;0,0108;0;0,1793;0,0994;0,1301;0
"41";0,1244;0,0052;0;0;0;0,1117;0;0,2661;0;0,186;0;0,0134;0;0,1835;0,108;0,1313;0
"42";0,1266;0,0058;0;0;0;0,1117;0;0,2448;0;0,1906;0;0,016;0;0,1877;0,1167;0,1326;0
"43";0,1291;0,0064;0;0;0;0,1117;0;0,2235;0;0,1952;0;0,0185;0;0,1919;0,1253;0,1339;0
