"VaR";"mean";"BBDC3.SA";"CPLE6.SA";"ENGI11.SA";"HYPE3.SA";"TIMS3.SA";"VIVT3.SA";"RADL3.SA";"MRFG3.SA";"MULT3.SA";"ELET3.SA"
"1";0,1182;-0,0187;0;0;0,2582;0;0;0;0,7418;0;0;0
"2";0,114;-0,0183;0;0;0,5165;0;0;0;0,4835;0;0;0
"3";0,1131;-0,018;0;0;0,5571;0;0;0,0127;0,4153;0;0,0149;0
"4";0,1111;-0,0177;0;0;0,5392;0;0;0,0336;0,3998;0;0,0274;0
"5";0,1091;-0,0174;0;0;0,5212;0;0;0,0546;0,3843;0;0,04;0
"6";0,1071;-0,017;0;0;0,5033;0;0;0,0755;0,3687;0;0,0525;0
"7";0,1051;-0,0167;0;0;0,4853;0;0;0,0964;0,3532;0;0,0651;0
"8";0,1031;-0,0164;0;0;0,4674;0;0;0,1173;0,3377;0;0,0776;0
"9";0,1011;-0,0161;0;0;0,4494;0;2e-04;0,1381;0,3222;0;0,0901;0
"10";0,099;-0,0158;0;0;0,4314;0;0,0082;0,1512;0,3086;0;0,1005;0
"11";0,0973;-0,0154;0;0;0,4134;0;0,0163;0,1643;0,2951;0;0,1109;0
"12";0,096;-0,0151;0;0;0,3953;0;0,0243;0,1775;0,2815;0;0,1214;0
"13";0,0949;-0,0148;0;0;0,3773;0;0,0324;0,1906;0,2679;0;0,1318;0
"14";0,094;-0,0145;0;0;0,3593;0;0,0404;0,2037;0,2544;0;0,1422;0
"15";0,0934;-0,0142;0;0;0,3423;0;0,048;0,2157;0,2415;8e-04;0,1515;0
"16";0,0927;-0,0138;0;0;0,3317;0;0,0526;0,2217;0,2329;0,0065;0,1547;0
"17";0,0919;-0,0135;0;0;0,321;0;0,0573;0,2276;0,2242;0,0121;0,1578;0
"18";0,0912;-0,0132;0;0;0,3111;0,0035;0,0597;0,2336;0,2153;0,017;0,1598;0
"19";0,0904;-0,0129;0;0;0,3014;0,0077;0,0616;0,2395;0,2063;0,0218;0,1616;0
"20";0,0899;-0,0125;0;0;0,2917;0,012;0,0635;0,2454;0,1974;0,0265;0,1635;0
"21";0,0894;-0,0122;0;0;0,282;0,0162;0,0654;0,2514;0,1884;0,0313;0,1653;0
"22";0,0889;-0,0119;0;0;0,2723;0,0205;0,0673;0,2573;0,1794;0,036;0,1671;0
"23";0,0884;-0,0116;0;0;0,2626;0,0247;0,0693;0,2632;0,1705;0,0407;0,1689;0
"24";0,0879;-0,0113;0;0;0,253;0,029;0,0712;0,2691;0,1615;0,0455;0,1708;0
"25";0,0874;-0,0109;0;0;0,2433;0,0332;0,0731;0,2751;0,1525;0,0502;0,1726;0
"26";0,0871;-0,0106;0;0;0,2336;0,0375;0,075;0,281;0,1436;0,055;0,1744;0
"27";0,0867;-0,0103;0;0;0,2239;0,0418;0,0769;0,2869;0,1346;0,0597;0,1762;0
"28";0,0866;-0,01;0;0;0,2142;0,046;0,0788;0,2928;0,1256;0,0644;0,178;0
"29";0,0866;-0,0097;0;0;0,2045;0,0503;0,0807;0,2988;0,1167;0,0692;0,1799;0
"30";0,0865;-0,0093;0;0;0,1948;0,0545;0,0827;0,3047;0,1077;0,0739;0,1817;0
"31";0,0865;-0,009;0;0;0,1851;0,0588;0,0846;0,3106;0,0988;0,0787;0,1835;0
"32";0,0868;-0,0087;0;0;0,1754;0,063;0,0865;0,3166;0,0898;0,0834;0,1853;0
"33";0,0871;-0,0084;0;0;0,1657;0,0673;0,0884;0,3225;0,0808;0,0881;0,1872;0
"34";0,0874;-0,008;0;0;0,1561;0,0715;0,0903;0,3284;0,0719;0,0929;0,189;0
"35";0,0878;-0,0077;0;0;0,1464;0,0758;0,0922;0,3343;0,0629;0,0976;0,1908;0
"36";0,0881;-0,0074;0;0;0,1367;0,08;0,0941;0,3403;0,0539;0,1024;0,1926;0
"37";0,0884;-0,0071;0;0;0,127;0,0843;0,096;0,3462;0,045;0,1071;0,1944;0
"38";0,0888;-0,0068;0;0;0,1173;0,0885;0,098;0,3521;0,036;0,1118;0,1963;0
"39";0,0892;-0,0064;0;0;0,1076;0,0928;0,0999;0,358;0,027;0,1166;0,1981;0
"40";0,0897;-0,0061;0;0;0,0979;0,097;0,1018;0,364;0,0181;0,1213;0,1999;0
"41";0,0903;-0,0058;0;0;0,0882;0,1013;0,1037;0,3699;0,0091;0,1261;0,2017;0
"42";0,091;-0,0055;0;0;0,0786;0,1049;0,1055;0,3748;9e-04;0,1302;0,2025;0,0025
"43";0,0916;-0,0052;0;0;0,0648;0,1079;0,1094;0,378;0;0,1352;0,1987;0,0061
"44";0,0923;-0,0048;0;0;0,0504;0,1108;0,1134;0,3809;0;0,1403;0,1944;0,0098
"45";0,0929;-0,0045;0;0;0,0361;0,1137;0,1175;0,3838;0;0,1455;0,19;0,0135
"46";0,0936;-0,0042;0;0;0,0218;0,1166;0,1216;0,3867;0;0,1506;0,1856;0,0172
"47";0,0943;-0,0039;0;0;0,0075;0,1194;0,1257;0,3896;0;0,1557;0,1812;0,0209
"48";0,0947;-0,0035;0;0;0;0,1233;0,1289;0,3896;0;0,1628;0,1701;0,0253
"49";0,0945;-0,0032;0;0;0;0,1283;0,1313;0,3864;0;0,172;0,1516;0,0304
"50";0,0949;-0,0029;0;0,0012;0;0,1333;0,1333;0,3831;0;0,1811;0,1328;0,0352
"51";0,0954;-0,0026;0;0,0037;0;0,1381;0,1349;0,3797;0;0,1902;0,1135;0,0399
"52";0,096;-0,0023;0;0,0063;0;0,143;0,1365;0,3762;0;0,1992;0,0943;0,0445
"53";0,0967;-0,0019;0;0,0088;0;0,1479;0,138;0,3727;0;0,2083;0,0751;0,0492
"54";0,0977;-0,0016;0;0,0113;0;0,1528;0,1396;0,3692;0;0,2174;0,0558;0,0538
"55";0,0987;-0,0013;0;0,0139;0;0,1577;0,1412;0,3657;0;0,2264;0,0366;0,0584
"56";0,0997;-0,001;0;0,0164;0;0,1626;0,1428;0,3623;0;0,2355;0,0174;0,0631
"57";0,1007;-7e-04;0;0,0183;0;0,1673;0,1446;0,3571;0;0,2449;0;0,0678
"58";0,1017;-3e-04;0;0,0145;0;0,1707;0,1481;0,3361;0;0,2571;0;0,0735
"59";0,1029;0;0;0,0106;0;0,1741;0,1516;0,3152;0;0,2693;0;0,0791
"60";0,1042;3e-04;0;0,0067;0;0,1775;0,1552;0,2943;0;0,2815;0;0,0848
"61";0,1054;6e-04;0;0,0028;0;0,181;0,1587;0,2734;0;0,2937;0;0,0905
"62";0,1068;0,001;0;0;0;0,1843;0,1619;0,2519;0;0,3059;0;0,0959
"63";0,1087;0,0013;0;0;0;0,1874;0,1642;0,2293;0;0,3182;0;0,1009
"64";0,1107;0,0016;0;0;0;0,1906;0,1666;0,2066;0;0,3304;0;0,1059
"65";0,1131;0,0019;0;0;0;0,1937;0,1689;0,1839;0;0,3426;0;0,1109
"66";0,1155;0,0022;0;0;0;0,1969;0,1712;0,1612;0;0,3548;0;0,1158
