"VaR";"mean";"BBDC3.SA";"CPLE6.SA";"ENGI11.SA";"HYPE3.SA";"TIMS3.SA"
"1";0,2754;0,004;0;0;0;1;0
"2";0,2562;0,0042;0;0,0826;0;0,9174;0
"3";0,2384;0,0044;0;0,1652;0;0,8348;0
"4";0,2237;0,0045;0;0,2477;0;0,7523;0
"5";0,2094;0,0047;0;0,3303;0;0,6697;0
"6";0,1965;0,0048;0;0,3876;0;0,5973;0,0151
"7";0,1865;0,005;0;0,3788;0;0,5515;0,0697
"8";0,1768;0,0052;0;0,37;0;0,5057;0,1244
"9";0,1671;0,0053;0;0,3611;0;0,4599;0,179
"10";0,1595;0,0055;0;0,3523;0;0,4141;0,2336
"11";0,1525;0,0056;0;0,3434;0;0,3683;0,2882
"12";0,1487;0,0058;0;0,3346;0;0,3226;0,3429
"13";0,1465;0,006;0;0,3273;0,0054;0,2972;0,3701
"14";0,1454;0,0061;0;0,3218;0,0168;0,2942;0,3673
"15";0,1443;0,0063;0;0,3163;0,0281;0,2911;0,3644
"16";0,1432;0,0064;0;0,3108;0,0395;0,2881;0,3615
"17";0,1421;0,0066;0,0029;0,3044;0,0495;0,2846;0,3586
"18";0,141;0,0068;0,0062;0,2979;0,0593;0,281;0,3557
"19";0,1399;0,0069;0,0094;0,2914;0,0691;0,2774;0,3527
"20";0,1387;0,0071;0,0127;0,2849;0,0789;0,2738;0,3498
"21";0,1376;0,0073;0,016;0,2784;0,0887;0,2701;0,3468
"22";0,1365;0,0074;0,0193;0,2718;0,0985;0,2665;0,3439
"23";0,1354;0,0076;0,0225;0,2653;0,1083;0,2629;0,3409
"24";0,1342;0,0077;0,0258;0,2588;0,1181;0,2593;0,338
"25";0,1331;0,0079;0,0291;0,2523;0,1279;0,2557;0,335
"26";0,132;0,0081;0,0324;0,2458;0,1377;0,252;0,3321
"27";0,1308;0,0082;0,0357;0,2393;0,1475;0,2484;0,3291
"28";0,1297;0,0084;0,0389;0,2328;0,1573;0,2448;0,3262
"29";0,1286;0,0085;0,0422;0,2262;0,1672;0,2412;0,3232
"30";0,1275;0,0087;0,0455;0,2197;0,177;0,2376;0,3203
"31";0,1266;0,0089;0,0488;0,2132;0,1868;0,234;0,3173
"32";0,1257;0,009;0,052;0,2067;0,1966;0,2303;0,3144
"33";0,1247;0,0092;0,0553;0,2002;0,2064;0,2267;0,3114
"34";0,1238;0,0093;0,0586;0,1937;0,2162;0,2231;0,3085
"35";0,1229;0,0095;0,0619;0,1871;0,226;0,2195;0,3055
"36";0,122;0,0097;0,0652;0,1806;0,2358;0,2159;0,3026
"37";0,1211;0,0098;0,0684;0,1741;0,2456;0,2123;0,2996
"38";0,1201;0,01;0,0717;0,1676;0,2554;0,2086;0,2967
"39";0,1192;0,0101;0,075;0,1611;0,2652;0,205;0,2937
"40";0,1183;0,0103;0,0783;0,1546;0,275;0,2014;0,2908
"41";0,1174;0,0105;0,0815;0,148;0,2848;0,1978;0,2878
"42";0,1165;0,0106;0,0848;0,1415;0,2946;0,1942;0,2849
"43";0,1155;0,0108;0,0881;0,135;0,3044;0,1905;0,2819
"44";0,1146;0,0109;0,0914;0,1285;0,3142;0,1869;0,279
"45";0,1137;0,0111;0,0946;0,122;0,324;0,1833;0,276
"46";0,1128;0,0113;0,0979;0,1155;0,3339;0,1797;0,2731
"47";0,112;0,0114;0,1012;0,109;0,3437;0,1761;0,2701
"48";0,1111;0,0116;0,1045;0,1024;0,3535;0,1725;0,2672
"49";0,1102;0,0117;0,1078;0,0959;0,3633;0,1688;0,2642
"50";0,1093;0,0119;0,111;0,0894;0,3731;0,1652;0,2613
"51";0,1084;0,0121;0,1143;0,0829;0,3829;0,1616;0,2583
"52";0,1076;0,0122;0,1176;0,0764;0,3927;0,158;0,2554
"53";0,1068;0,0124;0,1209;0,0699;0,4025;0,1544;0,2524
"54";0,1059;0,0125;0,1241;0,0633;0,4123;0,1508;0,2495
"55";0,1051;0,0127;0,1274;0,0568;0,4221;0,1471;0,2465
"56";0,1043;0,0129;0,1307;0,0503;0,4319;0,1435;0,2436
"57";0,1035;0,013;0,134;0,0438;0,4417;0,1399;0,2406
"58";0,1031;0,0132;0,1373;0,0373;0,4515;0,1363;0,2377
"59";0,1027;0,0134;0,1405;0,0308;0,4613;0,1327;0,2347
"60";0,1023;0,0135;0,1438;0,0243;0,4711;0,129;0,2318
"61";0,1019;0,0137;0,1471;0,0177;0,4809;0,1254;0,2288
"62";0,1016;0,0138;0,1504;0,0112;0,4908;0,1218;0,2259
"63";0,1012;0,014;0,1536;0,0047;0,5006;0,1182;0,2229
"64";0,1008;0,0142;0,156;0;0,5108;0,1142;0,219
"65";0,1007;0,0143;0,1559;0;0,5223;0,1093;0,2125
"66";0,1006;0,0145;0,1558;0;0,5338;0,1044;0,2061
"67";0,1011;0,0146;0,1557;0;0,5452;0,0995;0,1996
